timestamp,transaction_id,sender_account,receiver_account,sender_upi,receiver_upi,amount,status,sender_ip
2026-09-13 14:30:00,TXN_FRAUD_001,100001928374,200002837465,victim@okhdfcbank,mule.a@paytm,80000.0,SUCCESS,49.36.12.80
13/09/2026 14:33:00,TXN_FRAUD_002,200002837465,300003746582,mule.a@paytm,mule.b@okaxis,75000.0,SUCCESS,117.211.89.44
13/09/2026 14:33:00,TXN_FRAUD_002,200002837465,300003746582,mule.a@paytm,mule.b@okaxis,75000.0,SUCCESS,117.211.89.44
2026-09-13 14:37:00,TXN_FRAUD_003,300003746582,400004658391,mule.b@okaxis,cashout.pos@icici,70000.0,SUCCESS,117.211.89.44
2026-09-13 14:45:00,TXN_INNOCENT_IP,999999123456,888888654321,innocent.tea@upi,milk.supplier@upi,450.0,SUCCESS,117.211.89.44
2026-09-13 16:57:00,TXN_NOISE_0001,514592112233,603278445566,user1@upi,shop1@upi,3349.9,SUCCESS,103.41.58.12
2026-09-13 12:41:00,TXN_NOISE_0002,596530112233,613434445566,user2@upi,shop2@upi,3061.31,SUCCESS,103.79.23.12
2026-09-13 16:32:00,TXN_NOISE_0003,555302112233,604165445566,user3@upi,shop3@upi,182.6,SUCCESS,103.37.60.12
2026-09-13 15:48:00,TXN_NOISE_0004,578907112233,603478445566,user4@upi,shop4@upi,2547.54,SUCCESS,103.93.180.12
2026-09-13 16:09:00,TXN_NOISE_0005,554987112233,628893445566,user5@upi,shop5@upi,2048.98,SUCCESS,103.45.208.12
2026-09-13 11:33:00,TXN_NOISE_0006,599458112233,620926445566,user6@upi,shop6@upi,3156.72,SUCCESS,103.53.72.12
2026-09-13 12:49:00,TXN_NOISE_0007,528221112233,644118445566,user7@upi,shop7@upi,504.84,SUCCESS,103.58.25.12
2026-09-13 14:33:00,TXN_NOISE_0008,545082112233,679131445566,user8@upi,shop8@upi,1227.12,SUCCESS,103.15.187.12
2026-09-13 15:25:00,TXN_NOISE_0009,570284112233,616361445566,user9@upi,shop9@upi,4380.37,SUCCESS,103.58.21.12
2026-09-13 16:12:00,TXN_NOISE_0010,538427112233,682397445566,user10@upi,shop10@upi,2802.41,SUCCESS,103.56.148.12
2026-09-13 13:08:00,TXN_NOISE_0011,592349112233,609116445566,user11@upi,shop11@upi,253.92,SUCCESS,103.39.198.12
2026-09-13 13:58:00,TXN_NOISE_0012,510458112233,630512445566,user12@upi,shop12@upi,3905.85,SUCCESS,103.58.72.12
2026-09-13 15:22:00,TXN_NOISE_0013,583320112233,647819445566,user13@upi,shop13@upi,773.81,SUCCESS,103.55.54.12
2026-09-13 17:13:00,TXN_NOISE_0014,534993112233,691988445566,user14@upi,shop14@upi,4218.11,SUCCESS,103.92.19.12
2026-09-13 16:41:00,TXN_NOISE_0015,583227112233,622431445566,user15@upi,shop15@upi,2426.92,SUCCESS,103.41.42.12
2026-09-13 15:26:00,TXN_NOISE_0016,549735112233,635382445566,user16@upi,shop16@upi,4453.38,SUCCESS,103.91.177.12
2026-09-13 16:15:00,TXN_NOISE_0017,528785112233,689733445566,user17@upi,shop17@upi,1493.06,SUCCESS,103.17.59.12
2026-09-13 11:46:00,TXN_NOISE_0018,541347112233,652581445566,user18@upi,shop18@upi,1241.45,SUCCESS,103.37.234.12
2026-09-13 16:20:00,TXN_NOISE_0019,594098112233,641245445566,user19@upi,shop19@upi,996.19,SUCCESS,103.73.102.12
2026-09-13 16:59:00,TXN_NOISE_0020,560142112233,618726445566,user20@upi,shop20@upi,1228.72,SUCCESS,103.41.191.12
2026-09-13 16:17:00,TXN_NOISE_0021,570644112233,634438445566,user21@upi,shop21@upi,3374.21,SUCCESS,103.64.230.12
2026-09-13 16:28:00,TXN_NOISE_0022,552350112233,647447445566,user22@upi,shop22@upi,1025.98,SUCCESS,103.27.131.12
2026-09-13 15:42:00,TXN_NOISE_0023,511915112233,699061445566,user23@upi,shop23@upi,259.67,SUCCESS,103.24.40.12
2026-09-13 16:51:00,TXN_NOISE_0024,520969112233,689192445566,user24@upi,shop24@upi,1928.61,SUCCESS,103.18.99.12
2026-09-13 14:45:00,TXN_NOISE_0025,578104112233,661348445566,user25@upi,shop25@upi,2404.56,SUCCESS,103.80.221.12
2026-09-13 11:35:00,TXN_NOISE_0026,589166112233,694466445566,user26@upi,shop26@upi,559.76,SUCCESS,103.78.193.12
2026-09-13 13:46:00,TXN_NOISE_0027,584012112233,644587445566,user27@upi,shop27@upi,546.41,SUCCESS,103.65.41.12
2026-09-13 15:22:00,TXN_NOISE_0028,500425112233,694646445566,user28@upi,shop28@upi,3947.55,SUCCESS,103.43.249.12
2026-09-13 15:46:00,TXN_NOISE_0029,599871112233,623416445566,user29@upi,shop29@upi,2309.18,SUCCESS,103.23.223.12
2026-09-13 16:50:00,TXN_NOISE_0030,539117112233,683748445566,user30@upi,shop30@upi,2309.1,SUCCESS,103.35.40.12
2026-09-13 14:41:00,TXN_NOISE_0031,599943112233,621174445566,user31@upi,shop31@upi,2450.24,SUCCESS,103.77.236.12
2026-09-13 11:30:00,TXN_NOISE_0032,578504112233,642487445566,user32@upi,shop32@upi,2224.3,SUCCESS,103.24.238.12
2026-09-13 14:35:00,TXN_NOISE_0033,540306112233,631385445566,user33@upi,shop33@upi,307.77,SUCCESS,103.82.243.12
2026-09-13 12:10:00,TXN_NOISE_0034,511226112233,695932445566,user34@upi,shop34@upi,2212.66,SUCCESS,103.18.195.12
2026-09-13 16:02:00,TXN_NOISE_0035,516483112233,616828445566,user35@upi,shop35@upi,2985.89,SUCCESS,103.80.43.12
2026-09-13 13:45:00,TXN_NOISE_0036,569163112233,679507445566,user36@upi,shop36@upi,1932.96,SUCCESS,103.37.238.12
2026-09-13 16:06:00,TXN_NOISE_0037,598994112233,695673445566,user37@upi,shop37@upi,3119.91,SUCCESS,103.49.103.12
2026-09-13 17:13:00,TXN_NOISE_0038,585180112233,648944445566,user38@upi,shop38@upi,1999.55,SUCCESS,103.76.116.12
2026-09-13 12:31:00,TXN_NOISE_0039,532493112233,629451445566,user39@upi,shop39@upi,334.92,SUCCESS,103.12.151.12
2026-09-13 16:13:00,TXN_NOISE_0040,530161112233,677128445566,user40@upi,shop40@upi,1029.97,SUCCESS,103.19.182.12
